codnode;Pallets;Year;Month;Day;Date
167;19;2024;3;11;11/03/2024
91;5;2024;3;11;11/03/2024
228;8;2024;3;11;11/03/2024
164;7;2024;3;11;11/03/2024
184;20;2024;3;11;11/03/2024
214;5;2024;3;11;11/03/2024
54;8;2024;3;11;11/03/2024
219;11;2024;3;11;11/03/2024
191;6;2024;3;11;11/03/2024
123;6;2024;3;11;11/03/2024
136;9;2024;3;11;11/03/2024
77;2;2024;3;11;11/03/2024
104;9;2024;3;11;11/03/2024
223;6;2024;3;11;11/03/2024
117;17;2024;3;11;11/03/2024
56;11;2024;3;11;11/03/2024
233;8;2024;3;11;11/03/2024
8;32;2024;3;11;11/03/2024
174;44;2024;3;11;11/03/2024
48;11;2024;3;11;11/03/2024
52;14;2024;3;11;11/03/2024
125;5;2024;3;11;11/03/2024
137;18;2024;3;11;11/03/2024
93;22;2024;3;11;11/03/2024
47;2;2024;3;11;11/03/2024
28;22;2024;3;11;11/03/2024
99;10;2024;3;11;11/03/2024
20;48;2024;3;11;11/03/2024
50;16;2024;3;11;11/03/2024
32;35;2024;3;11;11/03/2024
97;6;2024;3;11;11/03/2024
2;4;2024;3;11;11/03/2024
86;13;2024;3;11;11/03/2024
36;42;2024;3;11;11/03/2024
171;12;2024;3;11;11/03/2024
231;14;2024;3;11;11/03/2024
88;36;2024;3;11;11/03/2024
225;7;2024;3;11;11/03/2024
40;53;2024;3;11;11/03/2024
190;11;2024;3;11;11/03/2024
89;14;2024;3;11;11/03/2024
87;5;2024;3;11;11/03/2024
33;53;2024;3;11;11/03/2024
116;46;2024;3;11;11/03/2024
204;4;2024;3;11;11/03/2024
90;36;2024;3;11;11/03/2024
57;20;2024;3;11;11/03/2024
103;53;2024;3;11;11/03/2024
31;5;2024;3;11;11/03/2024
197;20;2024;3;11;11/03/2024
109;8;2024;3;11;11/03/2024
59;8;2024;3;11;11/03/2024
232;18;2024;3;11;11/03/2024
13;9;2024;3;11;11/03/2024
84;25;2024;3;11;11/03/2024
119;53;2024;3;11;11/03/2024
198;14;2024;3;11;11/03/2024
188;24;2024;3;11;11/03/2024
169;17;2024;3;11;11/03/2024
120;14;2024;3;11;11/03/2024
226;17;2024;3;11;11/03/2024
127;7;2024;3;11;11/03/2024
98;10;2024;3;11;11/03/2024
55;19;2024;3;11;11/03/2024
11;11;2024;3;11;11/03/2024
206;48;2024;3;11;11/03/2024
194;9;2024;3;11;11/03/2024
140;16;2024;3;11;11/03/2024
156;7;2024;3;11;11/03/2024
148;18;2024;3;11;11/03/2024
17;106;2024;3;11;11/03/2024
227;6;2024;3;11;11/03/2024
209;3;2024;3;11;11/03/2024
121;18;2024;3;11;11/03/2024
73;51;2024;3;11;11/03/2024
15;39;2024;3;11;11/03/2024
215;10;2024;3;11;11/03/2024
14;6;2024;3;11;11/03/2024
110;16;2024;3;11;11/03/2024
230;16;2024;3;11;11/03/2024
115;13;2024;3;11;11/03/2024
114;7;2024;3;11;11/03/2024
16;16;2024;3;11;11/03/2024
211;4;2024;3;11;11/03/2024
112;100;2024;3;11;11/03/2024
105;51;2024;3;11;11/03/2024
61;26;2024;3;11;11/03/2024
113;3;2024;3;11;11/03/2024
220;7;2024;3;11;11/03/2024
63;33;2024;3;11;11/03/2024
85;11;2024;3;11;11/03/2024
153;5;2024;3;11;11/03/2024
9;25;2024;3;11;11/03/2024
58;10;2024;3;11;11/03/2024
101;49;2024;3;11;11/03/2024
221;27;2024;3;11;11/03/2024
5;26;2024;3;11;11/03/2024
183;33;2024;3;11;11/03/2024
218;7;2024;3;11;11/03/2024
26;23;2024;3;11;11/03/2024
193;10;2024;3;11;11/03/2024
81;16;2024;3;11;11/03/2024
173;9;2024;3;11;11/03/2024
159;12;2024;3;11;11/03/2024
208;7;2024;3;11;11/03/2024
161;10;2024;3;11;11/03/2024
76;18;2024;3;11;11/03/2024
217;12;2024;3;11;11/03/2024
176;22;2024;3;11;11/03/2024
27;14;2024;3;11;11/03/2024
7;37;2024;3;11;11/03/2024
12;17;2024;3;11;11/03/2024
201;10;2024;3;11;11/03/2024
67;10;2024;3;11;11/03/2024
46;19;2024;3;11;11/03/2024
41;85;2024;3;11;11/03/2024
149;21;2024;3;11;11/03/2024
24;40;2024;3;11;11/03/2024
179;8;2024;3;11;11/03/2024
135;21;2024;3;11;11/03/2024
165;17;2024;3;11;11/03/2024
3;22;2024;3;11;11/03/2024
192;10;2024;3;11;11/03/2024
203;22;2024;3;11;11/03/2024
44;25;2024;3;11;11/03/2024
152;73;2024;3;11;11/03/2024
196;4;2024;3;11;11/03/2024
175;8;2024;3;11;11/03/2024
22;25;2024;3;11;11/03/2024
216;8;2024;3;11;11/03/2024
74;23;2024;3;11;11/03/2024
10;30;2024;3;11;11/03/2024
170;17;2024;3;11;11/03/2024
166;17;2024;3;11;11/03/2024
158;7;2024;3;11;11/03/2024
129;16;2024;3;11;11/03/2024
141;9;2024;3;11;11/03/2024
160;28;2024;3;11;11/03/2024
107;20;2024;3;11;11/03/2024
29;28;2024;3;11;11/03/2024
146;26;2024;3;11;11/03/2024
23;7;2024;3;11;11/03/2024
142;9;2024;3;11;11/03/2024
70;19;2024;3;11;11/03/2024
180;7;2024;3;11;11/03/2024
4;15;2024;3;8;08/03/2024
224;6;2024;3;8;08/03/2024
108;12;2024;3;8;08/03/2024
123;10;2024;3;8;08/03/2024
77;3;2024;3;8;08/03/2024
222;6;2024;3;8;08/03/2024
172;4;2024;3;8;08/03/2024
2;11;2024;3;8;08/03/2024
72;10;2024;3;8;08/03/2024
40;36;2024;3;8;08/03/2024
89;29;2024;3;8;08/03/2024
1;36;2024;3;8;08/03/2024
148;5;2024;3;8;08/03/2024
64;29;2024;3;8;08/03/2024
45;4;2024;3;8;08/03/2024
30;11;2024;3;8;08/03/2024
157;4;2024;3;8;08/03/2024
19;14;2024;3;8;08/03/2024
178;31;2024;3;8;08/03/2024
78;5;2024;3;8;08/03/2024
39;21;2024;3;8;08/03/2024
210;2;2024;3;8;08/03/2024
61;31;2024;3;8;08/03/2024
124;128;2024;3;8;08/03/2024
83;9;2024;3;8;08/03/2024
37;27;2024;3;8;08/03/2024
62;16;2024;3;8;08/03/2024
113;8;2024;3;8;08/03/2024
34;11;2024;3;8;08/03/2024
144;43;2024;3;8;08/03/2024
229;20;2024;3;8;08/03/2024
151;12;2024;3;8;08/03/2024
82;16;2024;3;8;08/03/2024
221;8;2024;3;8;08/03/2024
68;8;2024;3;8;08/03/2024
118;9;2024;3;8;08/03/2024
38;35;2024;3;8;08/03/2024
201;10;2024;3;8;08/03/2024
79;11;2024;3;8;08/03/2024
66;5;2024;3;8;08/03/2024
3;35;2024;3;8;08/03/2024
181;5;2024;3;8;08/03/2024
22;6;2024;3;8;08/03/2024
143;17;2024;3;8;08/03/2024
71;16;2024;3;8;08/03/2024
167;24;2024;3;7;07/03/2024
139;8;2024;3;7;07/03/2024
4;15;2024;3;7;07/03/2024
91;16;2024;3;7;07/03/2024
228;11;2024;3;7;07/03/2024
164;7;2024;3;7;07/03/2024
184;14;2024;3;7;07/03/2024
95;5;2024;3;7;07/03/2024
214;5;2024;3;7;07/03/2024
54;7;2024;3;7;07/03/2024
108;5;2024;3;7;07/03/2024
219;25;2024;3;7;07/03/2024
123;21;2024;3;7;07/03/2024
136;22;2024;3;7;07/03/2024
77;12;2024;3;7;07/03/2024
104;10;2024;3;7;07/03/2024
223;6;2024;3;7;07/03/2024
94;23;2024;3;7;07/03/2024
213;16;2024;3;7;07/03/2024
56;1;2024;3;7;07/03/2024
233;11;2024;3;7;07/03/2024
8;12;2024;3;7;07/03/2024
147;7;2024;3;7;07/03/2024
21;172;2024;3;7;07/03/2024
52;14;2024;3;7;07/03/2024
125;11;2024;3;7;07/03/2024
51;28;2024;3;7;07/03/2024
93;6;2024;3;7;07/03/2024
28;14;2024;3;7;07/03/2024
99;15;2024;3;7;07/03/2024
20;34;2024;3;7;07/03/2024
111;12;2024;3;7;07/03/2024
50;18;2024;3;7;07/03/2024
32;22;2024;3;7;07/03/2024
122;11;2024;3;7;07/03/2024
195;3;2024;3;7;07/03/2024
75;48;2024;3;7;07/03/2024
97;7;2024;3;7;07/03/2024
2;32;2024;3;7;07/03/2024
86;7;2024;3;7;07/03/2024
80;10;2024;3;7;07/03/2024
36;27;2024;3;7;07/03/2024
171;9;2024;3;7;07/03/2024
49;5;2024;3;7;07/03/2024
231;9;2024;3;7;07/03/2024
88;18;2024;3;7;07/03/2024
225;4;2024;3;7;07/03/2024
40;50;2024;3;7;07/03/2024
190;7;2024;3;7;07/03/2024
87;15;2024;3;7;07/03/2024
33;39;2024;3;7;07/03/2024
205;7;2024;3;7;07/03/2024
116;9;2024;3;7;07/03/2024
204;3;2024;3;7;07/03/2024
90;18;2024;3;7;07/03/2024
189;5;2024;3;7;07/03/2024
57;13;2024;3;7;07/03/2024
103;42;2024;3;7;07/03/2024
31;11;2024;3;7;07/03/2024
197;9;2024;3;7;07/03/2024
109;5;2024;3;7;07/03/2024
59;9;2024;3;7;07/03/2024
232;16;2024;3;7;07/03/2024
35;2;2024;3;7;07/03/2024
13;17;2024;3;7;07/03/2024
1;34;2024;3;7;07/03/2024
168;16;2024;3;7;07/03/2024
84;17;2024;3;7;07/03/2024
119;24;2024;3;7;07/03/2024
198;18;2024;3;7;07/03/2024
188;20;2024;3;7;07/03/2024
169;27;2024;3;7;07/03/2024
