codnode;ZIPcod;Pallets;Year;Month;Day;Date;Day Of Week;Holiday;Tomorrow Holiday;WIND SPEED (m/s);WIND DIRECTION (°);TEMPERATURE (ºC);RELATIVE HUMIDITY (%);BARIOMETRIC PRESSURE (mb);SOLAR RADIATION (W/m2);PRECIPITATION (l/m2)
167;28046;380;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
91;28029;100;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
228;28100;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
164;28902;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
184;28108;400;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
214;28021;100;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
54;28043;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
219;28043;220;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
191;28042;120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
123;28922;120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
136;28042;180;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
77;28341;40;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
104;28801;180;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
223;28054;120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
117;28703;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
56;28051;220;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
233;28901;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
8;28660;640;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
174;28850;880;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
48;28017;220;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
52;28801;280;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
125;28017;100;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
137;28916;360;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
93;28016;440;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
47;28036;40;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
28;28009;440;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
99;28009;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
20;28008;960;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
50;28029;320;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
32;28703;700;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
97;28049;120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
2;28041;80;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
86;28906;260;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
36;28002;840;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
171;28006;240;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
231;28049;280;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
88;28001;720;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
225;28001;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
40;28028;1060;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
190;28005;220;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
89;28913;280;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
87;28232;100;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
33;28008;1060;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
116;28010;920;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
204;28003;80;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
90;28046;720;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
57;28046;400;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
103;28029;1060;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
31;28702;100;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
197;28703;400;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
109;28100;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
59;28108;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
232;28050;360;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
13;28042;180;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
84;28806;500;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
119;28806;1060;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
198;28850;280;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
188;28223;480;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
169;28051;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
120;28760;280;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
226;28043;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
127;28232;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
98;28222;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
55;28224;380;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
11;28011;220;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
206;28011;960;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
194;28014;180;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
140;28220;320;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
156;28049;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
148;28008;360;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
17;28003;2120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
227;28020;120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
209;28029;60;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
121;28042;360;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
73;28801;1020;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
15;28051;780;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
215;28049;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
14;28222;120;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
110;28044;320;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
230;28232;320;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
115;28906;260;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
114;28916;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
16;28922;320;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
211;28921;80;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
112;28001;2000;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
105;28009;1020;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
61;28040;520;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
113;28027;60;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
220;28051;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
63;28933;660;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
85;28036;220;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
153;28220;100;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
9;28916;500;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
58;28931;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
101;28040;980;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
221;28230;540;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
5;28001;520;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
183;28001;660;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
218;28009;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
26;28850;460;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
193;28224;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
81;28015;320;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
173;28003;180;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
159;28906;240;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
208;28222;140;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
161;28031;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
76;28804;360;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
217;28028;240;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
176;28005;440;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
27;28014;280;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
7;28040;740;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
12;28014;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
201;28108;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
67;28006;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
46;28046;380;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
41;28001;1700;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
149;28001;420;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
24;28009;800;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
179;28020;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
135;28036;420;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
165;28009;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
3;28001;440;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
192;28232;200;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
203;28016;440;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
44;28006;500;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
152;28046;1460;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
196;28001;80;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
175;28400;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
22;28221;500;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
216;28924;160;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
74;28001;460;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
10;28010;600;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
170;28046;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
166;28049;340;2024;3;11;11/03/2024;Monday;FALSE;FALSE;1.74;209.9;5.5125;74.81818182;938.2857143;77.5;0.11
