codnode;latitude;longitude;ZIPcod;Address;Business
169;40.3695488;-3.60444999;28051;Masico Termos, PR-TE-83 Romería a La Estrella, Mosqueruela, España;Masico Termos
218;40.42406845;-3.67291999;28009;Mosqueruela, Aragón, España;Mosqueruela
196;40.42063904;-3.68733001;28001;Mosqueruela, Aragón, España;Mosqueruela
187;40.43571091;-3.68827009;28046;Mosqueruela, Aragón, España;Mosqueruela
199;40.41963959;-3.69887996;28013;Mosqueruela, Aragón, España;Mosqueruela
223;40.3615799;-3.75766993;28054;Mas de la Parrilla, PR-TE-83 Romería a La Estrella, Mosqueruela, España;Mas de la Parrilla
168;40.52067184;-3.339349985;28805;unnamed road, 28805 Alcalá de Henares, España;Pérgola
21;40.49594116;-3.347170115;28805;Soldaunión, Calle Colmenar de Oreja, 28805 Alcalá de Henares, España;Soldaunión
76;40.47761154;-3.362380028;28804;Vaquero, Calle de Murano, 28801 Alcalá de Henares, España;Vaquero
73;40.48384857;-3.36383009;28801;Calle de Libreros, 9, 28801 Alcalá de Henares, España;Bar Indalo Tapas
84;40.49119949;-3.364170074;28806;Avenida de la Alcarria, 6, 28806 Alcalá de Henares, España;Farmacia 24h Alcarria
104;40.48416901;-3.368390083;28801;Café-Bar Macondo, Calle Diego de Torres, 28801 Alcalá de Henares, España;Café-Bar Macondo
52;40.48125839;-3.368880033;28801;Calle San Felipe Neri, 3, 28801 Alcalá de Henares, España;El gato verde
195;40.49649048;-3.374900103;28806;Glorieta de Vicente Aleixandre, 2, 28806 Alcalá de Henares, España;llooly Alcala
119;40.48194885;-3.396219969;28806;unnamed road, 28802 Alcalá de Henares, España;Pozo Antiguo
174;40.4617691;-3.438760042;28850;Manhattan, Calle de Juan Bautista Monegro, 10, 28859 Torrejón de Ardoz, España;Manhattan
198;40.45669937;-3.474410057;28850;Avenida de la Constitución, 86, 28850 Torrejón de Ardoz, España;Camino Real
26;40.47603989;-3.477349997;28850;Centro Comercial Parque Corredor, Maxi-China, Carretera Torrejón - Ajalvir, 28850 Torrejón de Ardoz, España;Centro Comercial Parque Corredor
172;40.4477005;-3.588020086;28022;Plenilunio, Calle de Pirra, 28042 Madrid, España;Plenilunio
136;40.46514893;-3.592689991;28042;Calle de la Bahía de Gando, 1, 28042 Madrid, España;Babel Terraza Restaurante
15;40.36769104;-3.597490072;28051;Centro Comercial La Gavia, Calle de Adolfo Bioy Casares, 2, 28051 Madrid, España;Centro Comercial La Gavia
31;40.56719971;-3.609220028;28702;Five Guys, Calle Salvador de Madariaga, 28702 San Sebastián de los Reyes, España;Five Guys
220;40.36911011;-3.609610081;28051;Beefcious, Avenida Ensanche de Vallecas, 29, 28051 Madrid, España;Beefcious
117;40.54024124;-3.612339735;28703;Parque Comercial MegaPark, Centro Comercial Plaza Norte 2, Plaza del Comercio, 11, 28703 San Sebastián de los Reyes, España;Parque Comercial MegaPark
56;40.37210846;-3.612989902;28051;Corner, Avenida de La Gavia, 28051 Madrid, España;El Corner
25;40.54103899;-3.614752615;28701;Parque Comercial MegaPark, Centro Comercial Plaza Norte 2, Plaza del Comercio, 11, 28703 San Sebastián de los Reyes, España;Parque Comercial MegaPark
121;40.46228027;-3.615020037;28042;Novotel Campo de las Naciones, Calle de Ámsterdam, 28043 Madrid, España;Gourmet Bar
197;40.55947876;-3.61729002;28703;Calle de Lanzarote, 20, 28702 San Sebastián de los Reyes, España;Tsunami Climb
13;40.45518875;-3.62001586;28042;El tinglao, Calle de las Petunias, 28022 Madrid, España;El tinglao
191;40.45484924;-3.620739937;28042;Avenida de los Andes, 22, 28042 Madrid, España;Pastelería Mallorca
161;40.37435913;-3.621340036;28031;Parroquia San Eulogio, Calle de la Peña de Vargas, 10, 28031 Madrid, España;Parroquia San Eulogio
32;40.54687881;-3.622070074;28703;Mercadona, Paseo de Europa, 28703 San Sebastián de los Reyes, España;Mercadona
202;40.43687057;-3.627490044;28037;Multi Auto, Calle de Alfonso Gómez, 28037 Madrid, España;Multi Auto
226;40.46492004;-3.629889965;28043;Calle de Mota del Cuervo, 76, 28043 Madrid, España;Cervecería Burgos
37;40.54145813;-3.637300014;28100;Casa Aracely, Calle del Marqués de la Valdavia, 28100 Alcobendas, España;Casa Aracely
184;40.52988052;-3.640619993;28108;Avenida de Bruselas, 31, 28108 Alcobendas, España;Miele Experience Center La Moraleja
59;40.52864456;-3.64262414;28108;Txoko La Moraleja, Avenida de Bruselas, 39, 28108 Alcobendas, España;Txoko La Moraleja
122;40.43284988;-3.650909901;28017;Calle de Alcalá, 292, 28027 Madrid, España;Parroquia Nuestra Señora Del Rosario De Fátima
35;40.44976044;-3.651060104;28043;C.C. Arturo Soria Plaza, Calle de Arturo Soria, 126, 28043 Madrid, España;Restaurante Argentino The Knife
54;40.44976044;-3.651060104;28043;C.C. Arturo Soria Plaza, Calle de Arturo Soria, 126, 28043 Madrid, España;C.C. Arturo Soria Plaza
219;40.44976044;-3.651060104;28043;C.C. Arturo Soria Plaza, Calle de Arturo Soria, 126, 28043 Madrid, España;C.C. Arturo Soria Plaza
222;40.52635956;-3.651989937;28108;Carrefour, Carretera de Fuencarral, 28108 Alcobendas, España;Carrefour
228;40.54990005;-3.652019978;28100;El Almirez II, Calle Dolores Ibárruri, 28100 Alcobendas, España;El Almirez II
201;40.53411865;-3.652450085;28108;Grupo Restaurantes José Luis, Avenida de la Industria, 35, 28108 Alcobendas, España;Grupo Restaurantes José Luis
125;40.42287064;-3.653949976;28017;Calle de María Teresa Sáenz de Heredia, 15, 28017 Madrid, España;Fibrosis madrid postoperatorio
48;40.4278717;-3.655260086;28017;Calle de San Marcelo, 28, 28017 Madrid, España;Mini Mercado
109;40.54547882;-3.65583992;28100;El Galeón II, Paseo de la Chopera, 184, 28100 Alcobendas, España;El Galeón II
113;40.43669891;-3.657759905;28027;Amadeus IT, Calle de Salvador de Madariaga, 1, 28027 Madrid, España;Amadeus IT
62;40.49808884;-3.660939932;28050;El Corte Inglés Sanchinarro, Calle de Margarita de Parma, 1, 28050 Madrid, España;El Corte Inglés Sanchinarro
232;40.50862885;-3.667180061;28050;La Vaca Picada, Paseo de la Tierra de Melide, 28050 Madrid, España;La Vaca Picada
217;40.43650055;-3.66753006;28028;El Rincón de Jaén IV, Avenida de Camilo José Cela, 28028 Madrid, España;El Rincón de Jaén IV
40;40.42808914;-3.667769909;28028;Calle de Alcalá, 152, 28028 Madrid, España;Beata Praska Fotografía
36;40.44794846;-3.668730021;28002;Los Torreznos, Calle de López de Hoyos, 149, 28002 Madrid, España;Los Torreznos
95;40.50775909;-3.671370029;28050;Ahorramás, Avenida Camino de Santiago, 58, 28050 Madrid, España;Ahorramás
80;40.38240293;-3.671771602;28053;Calle Sierra de Contraviesa, 40, 28053 Madrid, España;Farmacia
82;40.41794968;-3.672810078;28007;Calle de Ibiza, 48, 28009 Madrid, España;Taberna Barullo
28;40.42406845;-3.672919989;28009;Ricos Tacos Cantina, Avenida de Felipe II, 28009 Madrid, España;Ricos Tacos Cantina
203;40.45869064;-3.672970057;28016;Calle de Costa Rica, 15, 28016 Madrid, España;Los Barriletes
24;40.42153931;-3.673089981;28009;Calle de O'Donnell, 51, 28009 Madrid, España;Parador del Jamón
129;40.42361069;-3.673569918;28009;Lizarrán, Avenida de Felipe II, 28, 28009 Madrid, España;Lizarrán
105;40.42457962;-3.674799919;28009;El Corte Inglés, Avenida de Felipe II, 28009 Madrid, España;El Corte Inglés
78;40.43864059;-3.676189899;28002;Avenida de América, Intercambiador de Avenida de América, 28006 Madrid, España;Intercambiador de Avenida de América
99;40.41469955;-3.676690102;28009;Hospital Infantil Universitario del Niño Jesús, Avenida de Menéndez Pelayo, 28009 Madrid, España;Hospital Infantil Universitario del Niño Jesús
165;40.41469955;-3.676690102;28009;Hospital Infantil Universitario del Niño Jesús, Avenida de Menéndez Pelayo, 28009 Madrid, España;Hospital Infantil Universitario del Niño Jesús
225;40.42475128;-3.678139925;28001;Burger King, Calle de Goya, 28001 Madrid, España;Burger King
93;40.45462036;-3.678149939;28016;Calle de Serrano, 221, 28016 Madrid, España;Cachivache Taberna Serrano
